district_id,illiterate,only_literate,below_primary,primary,middle,secondary,intermediate,non_tech_diploma,tech_diploma,graduate,unknown
594,442652,128180,420080,458509,435556,405539,455813,9114,89922,270616,5219
595,426712,162396,401765,445056,415857,376919,522361,11254,130083,383110,6875
596,185964,52907,149054,175230,164616,136324,146094,1613,27452,67814,1906
597,224753,101806,232900,277079,283879,225505,349259,4977,78185,193495,2713
598,274992,110222,259857,303996,334680,266886,318699,6017,86167,162855,3418
599,134859,58746,131256,155690,185173,152630,215499,3562,57758,100391,1848
600,395102,127854,313781,366340,426612,291482,409181,6487,89160,204830,4546
601,516019,132373,357071,430649,505988,371622,514590,6636,99371,360456,6652
241,13259,1778,7742,7783,4921,4223,2260,9,148,1459,127
242,43003,3053,30220,27492,13949,8375,5725,17,158,4131,312
243,40109,4312,33695,29642,15562,10047,6785,28,233,5801,636
244,69254,8485,44443,50684,35113,30623,21352,101,1094,21278,1156
99,775825,44117,219960,337790,227759,162996,95494,87,4856,97241,3043
100,740556,66859,201071,283677,192246,133789,74803,238,3846,64711,12896
101,1085136,55362,301488,364151,231100,144590,75051,197,3697,98926,4239
102,890278,81254,247764,321798,220086,140444,71118,168,3009,58869,4759
103,766685,55003,221809,326029,282566,225968,132511,172,6537,117061,2704
104,1491703,59437,396859,564137,459599,328582,164302,620,14986,188594,5360
105,1067593,53798,285975,389774,319485,197306,113454,504,8467,105503,6603
106,523418,31588,161163,213292,134955,69124,36275,55,3176,31595,1875
107,652399,40345,165277,222405,169837,94364,52016,158,6379,52324,2744
108,593803,47660,155439,196009,145550,80213,45900,249,5332,58800,6596
109,696358,55969,180367,236715,200967,119033,67323,120,5015,69689,2853
110,2325213,80908,679568,965059,832248,669743,347363,1604,16586,696300,11586
111,1025216,54955,286948,436510,347463,248350,142751,208,6141,123773,5018
112,1549119,92127,390710,506921,349460,221136,97242,220,4221,87771,8816
113,1655633,73831,427135,555470,383420,253150,126419,949,7864,190694,12600
114,361266,12546,96315,96067,46104,26199,15720,153,711,13326,1512
115,1415429,52053,366358,394808,194837,87146,44098,135,2491,38120,8276
116,999148,52019,248051,276600,147186,55968,23648,27,1319,21996,2768
117,559540,24413,117407,144831,89740,47469,24308,63,1870,25488,1217
118,951880,47896,248471,347217,214649,111970,53524,48,2576,55248,4094
119,1056379,197502,288394,363450,246232,164526,99719,202,7049,139625,19974
120,671667,34718,164769,204120,150421,83840,51977,133,3058,53375,3248
121,525862,20064,132737,178812,119298,57747,34032,71,2662,37363,2258
122,1152397,118206,312206,351817,202911,113902,66670,130,4095,80027,6162
