district_id,hindu,muslim,christian,sikh,buddhist,jain,other,none
459,778214,40707,635,8009,1352,15094,27,1033
460,997073,42426,2372,912,268,1737,19448,1827
461,686524,21473,2132,606,86,1653,35434,1329
462,1077545,34419,511,128,92,93,12556,1689
463,1118998,46574,2332,1422,338,182,6139,2288
464,960925,15733,38423,141,65,8871,388,502
465,705060,17660,4600,65,36,780,271,527
466,1182330,116277,2800,1726,1425,3856,158,1489
467,552526,180840,1199,1074,19883,1884,99,342
588,729987,486913,87454,151,362,130,152,2226
589,1509592,742483,262526,424,1118,193,722,5945
590,404460,234185,174453,61,312,1797,286,1866
591,1734958,1211131,131516,297,235,601,588,6967
592,1135259,2888849,81556,205,179,68,579,6225
593,1875980,812936,114397,220,238,78,400,5685
594,1823442,532839,757484,259,278,62,585,6251
595,1509557,514397,1248137,860,614,1176,1083,6564
596,541854,82206,481507,100,189,44,384,2690
597,983598,126499,858608,204,358,83,565,4636
598,1460447,224545,435056,268,146,74,311,6942
599,681666,55074,456404,153,150,44,262,3659
600,1697635,508500,421598,208,272,63,619,6480
601,2194057,452915,630573,404,301,76,1082,22019
400,604259,25878,9398,1391,84,1155,15474,1278
401,2126195,81442,97432,2303,1287,623,48295,2309
402,629509,15336,189588,474,467,694,14835,766
403,1422986,17332,47653,2117,781,409,1782,924
404,1133176,30195,21059,3666,897,753,15649,1245
405,1597089,14173,2926,635,556,707,2220,1401
406,2540763,57973,20745,6373,2979,2357,29122,3317
407,776013,12206,980,924,433,1167,30222,581
408,1399658,23648,5193,3761,28541,8187,67444,701
409,3129745,83499,24304,24276,19587,17209,42569,2683
410,3881485,103038,23181,16707,8397,17137,10680,3247
411,1008061,12570,5284,2941,521,1495,1417,465
412,777188,10425,2644,1196,667,3612,3685,364
413,627460,6040,4007,552,2213,1071,105869,1729
414,1277975,12413,27951,2099,985,3466,86925,1385
415,129161,776,600,96,71,409,8542,165
416,513915,6437,4888,457,352,1044,6071,474
417,245151,1617,2709,68,1649,15,3793,228
497,1521618,96182,8467,685,4969,6191,2907,7276
498,1825460,187901,3653,1422,13405,12818,912,5291
499,3457615,560261,7091,3091,143865,27404,9662,20928
500,1845424,354236,3531,1668,364229,12242,522,4406
501,1107809,357253,4483,1504,328033,10205,389,4230
502,859949,142672,1707,518,179330,8476,381,4127
503,2055177,421410,7223,2242,383891,11360,3288,3854
504,1057096,53854,2696,2147,175417,5663,2254,1647
505,3492202,390974,34667,20469,668050,24528,12181,10499
506,1009352,26502,2145,831,154458,1017,3555,2474
507,1153861,26157,1827,2160,125282,1568,5080,6572
508,927411,21063,3872,681,82695,454,30047,6719
509,1780085,92297,10701,5251,286734,3861,23188,2190
510,2251401,239236,4567,1596,249874,11422,3745,10507
511,2501741,471951,3902,13540,354189,5049,1273,9647
512,863199,127552,992,643,176679,5278,103,2899
513,1328385,306364,2081,1371,187899,6238,262,3486
514,1504641,274221,12542,1629,152540,9619,336,3518
515,2545438,786677,15991,5142,309093,30981,1005,6955
516,5237009,693052,23946,8912,94783,38212,1795,9478
517,8716055,1355630,280700,39149,449617,172052,9862,37083
518,6337132,1795788,322476,47288,469568,343639,18345,22726
519,1873762,773173,84555,13471,134257,166000,31094,9099
520,2239370,227465,17452,7477,121791,12260,1159,7226
521,8090254,673704,134192,27090,340404,127786,9873,26105
522,4107143,320743,22766,5431,33898,38718,1408,13052
523,2174672,320395,2097,824,68482,8719,399,9461
524,2006984,367664,2387,935,66535,6387,310,2994
525,1437623,178925,942,340,28216,4530,195,6805
526,3795424,441254,9882,1279,35497,28134,568,5718
527,2691952,146970,4408,1182,141315,12810,676,4428
528,1307211,187197,1990,230,113467,3347,95,1532
529,780384,26264,15471,219,24762,1046,53,1452
530,3379906,286558,15573,1570,29766,154882,1274,6472
531,2440312,239607,9098,1260,38210,87453,769,5434
638,8681,1336,26077,343,119,0,248,38
639,81163,2165,21870,77,84,4,47,187
640,174452,28912,33037,866,135,27,269,444
587,1788,62268,317,8,10,11,7,64
56,324859,3554,353,167,563,74,105,411
57,385818,4395,428,323,190,11,23,417
58,240170,1486,171,38,9,4,44,363
59,609835,7374,656,290,32,91,109,544
60,1424916,202057,13416,36454,11778,5117,217,2739
61,660507,22931,2161,619,58,212,51,732
62,475105,6015,1401,260,185,13,30,430
63,257509,1440,397,46,102,7,16,381
64,611250,7752,1895,256,201,31,6,1115
65,249563,8693,870,336,24,28,6,128
66,809717,120742,5091,17419,570,356,181,529
67,1104452,372267,6064,162768,505,738,159,1949
68,1214935,648119,4878,17364,709,2501,46,1870
468,1608921,442355,6192,6353,490,25312,98,2650
469,2890305,213505,1686,486,281,12659,83,1501
470,1194745,142797,916,337,66,3602,66,1205
471,1885732,136431,1954,1082,146,7087,88,2544
472,2260560,148563,6375,614,168,11110,52,1147
473,1319586,57273,3237,1985,497,6405,82,2688
474,6042416,883238,50754,14542,4518,209287,2055,7415
475,1620282,109681,1419,512,312,22992,128,942
476,3397406,361388,5478,1918,1170,33591,269,3338
477,1810443,320805,4392,1873,1086,18856,136,2528
478,549749,33565,500,248,91,515,38,743
479,2397056,334858,2586,1110,1291,3841,77,2263
480,1410463,99105,919,415,243,2053,40,952
481,2632574,212863,3457,1410,445,26974,127,2515
482,1798794,250919,29789,1524,267,8591,142,2719
483,2000884,264482,26629,1403,300,3479,82,2626
484,2220974,158513,2863,662,337,5236,131,2060
485,2045243,66353,9907,493,260,3331,114,1385
486,3713941,384579,23813,9340,2069,27650,1124,3110
487,559848,22600,4413,147,80,373,2078,758
488,1188204,343511,9494,1733,442,4813,342,2480
489,203545,3593,20029,69,32,39,560,424
490,1225087,78669,5733,2459,601,13386,2823,914
491,1571147,94034,19661,1589,913,13809,1417,3108
492,5260193,660772,21052,5703,12902,112835,3920,3945
493,725890,22309,52930,239,1476,1828,408,1942
90,3211042,291330,14100,92129,2281,43460,345,1852
91,726443,119792,7256,19066,1824,13049,81,467
92,1529337,657585,9123,17424,2388,24673,48,1046
93,1410852,178807,15792,53027,2643,46927,366,932
94,124482,8480,4852,2933,312,679,66,200
95,364148,194278,3527,13038,362,5886,107,974
96,2087294,149807,18337,271752,1993,11322,273,2465
97,2102743,112691,31226,31692,2784,9215,266,2341
98,2155759,445914,41880,69520,3862,11020,645,3329
555,4038331,528412,18418,2037,1086,178310,149,12918
556,1634229,219991,3433,443,412,25198,166,5880
557,1786830,369588,2433,558,374,8665,499,8384
558,1289709,335184,35438,1145,30453,680,521,10170
559,1634062,272022,10394,538,2265,4156,29,5346
560,1218024,161770,4081,296,85,2898,461,2305
561,907750,143665,3432,231,79,5993,74,3346
562,1390020,386834,28747,1486,715,29037,2748,7436
563,1187306,187974,44530,305,12804,3624,64,562
564,1281878,297927,2406,419,68,9834,702,4434
565,2103633,320834,14014,1029,284,8044,54,4703
566,1520553,128751,3175,322,84,3778,128,2665
567,1658465,265805,5420,307,164,6417,1743,7176
568,1479424,234664,26521,400,120,9234,367,2023
569,1009179,96740,65838,232,161,4534,155,522
570,1004553,101235,26000,182,109,4710,4,1168
571,2413812,245923,9130,477,187,5067,161,4223
572,7725070,1248294,504863,13254,5531,83090,498,40951
573,1712695,77801,8506,322,299,3607,109,2430
574,1630814,120011,15611,289,623,5820,3,3250
575,1403854,501896,171398,525,445,10397,138,996
576,448986,87274,17130,139,126,250,220,394
577,2631985,290549,39361,1255,16194,14419,493,6871
578,942071,47210,22183,136,4872,761,140,3418
579,2011014,513125,8344,826,9589,4865,330,18233
580,997974,155340,8677,331,7970,1519,996,1464
581,1305431,199873,26722,253,150,2494,92,1386
582,1100131,147810,4684,264,85,975,77,1078
583,890429,92252,5368,389,272,1045,85,1083
584,959260,114311,6390,383,104,859,57,1272
293,122936,106788,389956,209,3392,144,16950,2916
294,17272,3359,289708,56,1004,38,5617,863
295,7036,1050,132984,27,332,10,362,533
296,6498,1533,366881,58,1313,38,5878,1262
297,30945,1838,218508,166,428,49,6308,598
298,144935,14185,543394,2495,3111,303,115597,1902
299,12456,1646,271596,34,284,45,107559,1504
203,3047427,865090,8469,926,1337,296,1895,9602
204,4086453,990349,4865,668,878,464,104,15590
205,552492,99342,522,216,73,52,44,3505
206,2672311,740101,2897,261,253,188,20,7543
207,3652168,818912,3262,564,328,442,169,11534
208,1809936,409251,3758,271,136,546,42,5136
209,1593525,1207442,4116,371,187,1910,63,3955
210,531236,1149095,5783,398,183,1476,28,2201
211,1989420,1255641,7989,614,353,1450,650,8502
212,1684589,1365645,8659,2754,212,507,2141,6522
213,1753829,241760,1342,170,60,133,81,4387
214,1629254,266620,1292,197,60,109,8,3121
215,3042729,881476,3534,832,245,236,101,8232
216,4032773,745546,5149,933,288,382,98,15893
217,2119262,436057,2463,271,167,133,28,3631
218,2712635,608282,2618,369,407,359,86,5708
219,3534772,406449,2330,371,229,322,107,7282
220,3152346,333980,2203,707,362,246,71,5106
221,3800598,452370,2126,554,292,231,112,5283
222,2554330,407348,2209,402,229,276,57,5690
223,1486989,175588,1253,143,79,86,115,2633
224,2487866,537098,3556,415,180,1050,32,7569
225,1772655,250925,6138,139,113,94,1035,3664
226,1252319,110416,1815,338,95,145,61,2576
227,956396,40886,487,140,52,78,52,2821
228,596102,37653,313,75,41,43,31,2084
229,2669775,198033,1978,393,414,561,64,6435
230,5356075,439952,12551,4803,1062,2151,203,21668
231,2518216,197819,2165,544,647,1472,48,7496
232,1591454,105423,2125,248,5090,97,57,1858
233,1456229,155283,1407,296,7707,129,1534,3799
234,2645415,300487,2889,2569,1584,252,537,6185
235,2291133,237353,2218,295,334,775,19,7946
236,3876395,488121,3943,913,870,1723,108,19345
237,1964620,244394,1299,250,176,279,80,8048
238,1525746,217621,8443,162,159,87,3438,4749
239,1045117,75742,691,148,248,60,58,3249
240,634099,64259,390,59,323,74,60,1579
261,8102,3444,236494,84,1256,314,1,565
262,9840,2057,181847,78,442,66,6,286
263,2580,772,136995,39,286,6,2,77
264,5605,2043,158236,34,318,8,20,79
265,108900,31212,234239,566,1270,2148,157,319
266,3563,950,158224,31,350,17,198,85
267,2979,1052,191864,27,572,5,1,96
268,873,635,48849,5,77,0,0,45
269,1040,564,71803,13,210,1,1,372
270,25496,4384,234955,998,1519,80,335,221
271,4076,1850,86145,15,459,10,2493,171
370,1459065,7527,11744,652,161,125,44,1937
371,553587,12783,10462,1441,80,70,67,1015
372,964188,20120,50637,2506,310,86,1117,2135
373,296001,704,14518,53,102,7,409,726
374,1532352,71391,385011,5713,710,721,89986,7553
375,1752694,27752,9141,2177,209,131,7372,2257
376,2113079,33706,15008,661,162,109,351714,5299
377,2197709,94254,6434,237,111,201,18345,3238
378,1398543,104202,745,169,81,111,61,2425
379,1386792,50247,1423,169,62,52,24,1592
380,1086140,46929,1604,206,74,58,63,1897
381,2457729,141263,11985,1026,6276,1180,168,4843
382,1725595,93642,1623,470,58,100,3073,2631
383,1185542,4805,727,124,366,39,139,1069
384,1258684,7512,3383,812,226,36,971,2197
385,955754,5278,383,107,33,24,12,1198
386,2147632,84060,12527,1264,475,476,434,4805
387,1644905,46094,4239,193,243,94,302,2660
388,3486059,13315,23975,590,174,170,76,4672
389,353160,1556,219482,53,2180,66,4,1316
390,580300,2138,148895,82,290,47,23,1335
391,438152,1007,522,24,5,11,7,1434
392,605225,1566,2374,58,46,17,6,891
393,1618175,7811,16271,565,467,2225,141,3342
394,601092,4952,1778,724,76,905,22,833
395,1555367,4975,11160,796,175,1225,220,2951
396,874445,4607,84916,219,249,123,44,3308
397,1178005,6753,32152,169,189,325,54,3299
398,1294151,8850,68550,518,219,491,3384,3484
399,600219,1871,10039,213,43,195,35,577
300,529068,252271,101091,93,1718,396,123,2382
301,388380,1553023,4107,254,101,1846,45,1502
302,347878,579929,77862,771,194,477,103,969
303,492966,1198036,1020,112,49,399,14,1026
304,451882,503257,834,113,65,244,11,1017
305,1225246,1563203,26844,3036,1073,1162,61,3143
306,1422824,350536,138166,1363,5088,1003,221,4909
307,797130,193476,46217,412,1074,250,2410,1168
308,655052,13475,8711,297,911,167,6315,1205
309,1181347,48373,76877,1999,16228,837,395,1873
310,1198401,64526,52968,2261,4673,1055,46,2405
311,1007277,95553,33147,902,3953,286,8541,1391
312,1008219,54684,21051,1540,2378,719,578,3087
313,917426,90312,50582,1131,3863,530,1347,1697
314,766000,20290,157789,370,6260,397,3568,1639
315,143593,4358,63310,207,680,70,1170,714
316,1038985,654816,37635,280,341,1673,98,2789
317,521962,692489,11990,114,446,524,110,1051
318,251194,397653,8480,84,490,247,636,512
319,359145,371033,5924,384,236,871,9,1202
320,320647,109248,49747,87,406,125,482,1420
321,877495,601784,33297,319,185,1330,55,3077
322,1064412,151071,18810,3679,1627,9250,170,4919
323,491582,277488,429,62,27,1004,9,1038
324,782901,135750,27076,156,1189,239,353,2411
325,327322,597392,1688,431,57,724,19,867
326,612425,105319,110215,215,1681,124,229,1460
35,1074332,27667,176587,1002874,405,580,812,15066
36,336124,10190,5445,453692,6662,553,334,2168
37,1394329,30233,26016,718363,11385,4011,805,8448
38,1000743,23089,14968,538208,3476,2034,531,3576
39,401368,6829,1479,192885,5885,695,266,2903
40,152851,16808,1698,427521,48,178,251,808
41,1502403,77713,16517,1863408,2007,19620,1254,15817
42,158414,9388,3277,818921,178,436,365,4767
43,906408,6844,19358,1090815,454,1143,278,3774
44,254920,4333,1681,638625,240,744,433,920
