district_id,population,males,females,literates,literate_males,literate_females,working,working_males,working_females,non_working,non_working_males,non_working_females
211,3264619,1699370,1565249,1332326,805261,527065,1143318,803275,340043,2121301,896095,1225206
212,3071029,1600430,1470599,1280190,762256,517934,1013566,760522,253044,2057463,839908,1217555
213,2001762,1047559,954203,834577,517666,316911,777546,496046,281500,1224216,551513,672703
214,1900661,997174,903487,804996,506374,298622,649898,456724,193174,1250763,540450,710313
215,3937385,2059949,1877436,1816634,1125566,691068,1223640,947927,275713,2713745,1112022,1601723
216,4801062,2527497,2273565,2509232,1487117,1022115,1547586,1195308,352278,3253476,1332189,1921287
217,2562012,1267666,1294346,1382998,793905,589093,728201,539586,188615,1833811,728080,1105731
218,3330464,1675090,1655374,1930175,1115906,814269,932416,730396,202020,2398048,944694,1453354
219,3951862,2022821,1929041,2157454,1285767,871687,1040231,857660,182571,2911631,1165161,1746470
220,3495021,1844535,1650486,1926740,1152576,774164,1060344,858648,201696,2434677,985887,1448790
221,4261566,2230003,2031563,2142880,1293575,849305,1343400,1037576,305824,2918166,1192427,1725739
222,2970541,1567660,1402881,1548673,918507,630166,938182,715345,222837,2032359,852315,1180044
223,1666886,883786,783100,768028,461153,306875,560805,398216,162589,1106081,485570,620511
224,3037766,1615663,1422103,1573066,937669,635397,983528,740056,243472,2054238,875607,1178631
225,2034763,1067140,967623,965321,590961,374360,771080,517817,253263,1263683,549323,714360
226,1367765,729041,638724,801817,473741,328076,426658,327453,99205,941107,401588,539519
227,1000912,526345,474567,507270,305182,202088,326576,240494,86082,674336,285851,388485
228,636342,329743,306599,328676,196431,132245,224655,151569,73086,411687,178174,233513
229,2877653,1497060,1380593,1519933,919558,600375,1045420,703405,342015,1832233,793655,1038578
230,5838465,3078512,2759953,3459679,2028047,1431632,1881886,1436411,445475,3956579,1642101,2314478
231,2728407,1430380,1298027,1599151,973486,625665,822493,640283,182210,1905914,790097,1115817
232,1706352,887977,818375,989807,593544,396263,538322,402180,136142,1168030,485797,682233
233,1626384,847006,779378,920276,549923,370353,511163,375959,135204,1115221,471047,644174
234,2959918,1543546,1416372,1799832,1061783,738049,924879,707939,216940,2035039,835607,1199432
235,2540073,1318684,1221389,1466002,868733,597269,837770,599157,238613,1702303,719527,982776
236,4391418,2266566,2124852,2297613,1368803,928810,1664062,1076170,587892,2727356,1190396,1536960
237,2219146,1144668,1074478,1091012,659474,431538,817041,539439,277602,1402105,605229,796876
238,1760405,916064,844341,858588,534385,324203,727571,452288,275283,1032834,463776,569058
239,1125313,585582,539731,618881,374412,244469,365378,266423,98955,759935,319159,440776
240,700843,363497,337346,386351,235279,151072,236354,167991,68363,464489,195506,268983
241,43709,24730,18979,30450,18579,11871,23359,15935,7424,20350,8795,11555
242,136435,70238,66197,93432,51988,41444,70348,40772,29576,66087,29466,36621
243,146850,76670,70180,106741,59357,47384,74753,45300,29453,72097,31370,40727
244,283583,151432,132151,214329,121345,92984,139678,92351,47327,143905,59081,84824
245,49977,29151,20826,26073,17720,8353,28561,19554,9007,21416,9597,11819
246,83947,46155,37792,48492,29566,18926,42493,28313,14180,41454,17842,23612
247,78690,38775,39915,38449,21599,16850,31710,16424,15286,46980,22351,24629
248,176573,89182,87391,121048,65794,55254,65772,41263,24509,110801,47919,62882
249,83448,41758,41690,45278,24807,20471,33370,17898,15472,50078,23860,26218
250,112274,58168,54106,64746,36777,27969,49177,29156,20021,63097,29012,34085
251,99214,50116,49098,62576,34210,28366,40222,23591,16631,58992,26525,32467
252,35320,18699,16621,18195,10723,7472,17644,9968,7676,17676,8731,8945
253,148226,76948,71278,73174,44027,29147,62966,39329,23637,85260,37619,47641
254,111975,57604,54371,47974,29313,18661,50169,27545,22624,61806,30059,31747
255,83030,41843,41187,54057,29470,24587,30202,17339,12863,52828,24504,28324
256,92076,45318,46758,36606,20258,16348,38044,18429,19615,54032,26889,27143
257,8004,4414,3590,4436,2614,1822,3555,2228,1327,4449,2186,2263
258,54080,28053,26027,31849,18087,13762,22326,14102,8224,31754,13951,17803
259,145726,76221,69505,83062,48380,34682,60945,38910,22035,84781,37311,47470
260,21167,11507,9660,9990,6523,3467,10501,6224,4277,10666,5283,5383
261,250260,131753,118507,119626,67432,52194,147654,79425,68229,102606,52328,50278
262,194622,101092,93530,159494,83479,76015,100067,57084,42983,94555,44008,50547
263,140757,71217,69540,102881,53504,49377,79466,41178,38288,61291,30039,31252
264,166343,84505,81838,128208,67385,60823,78412,42096,36316,87931,42409,45522
265,378811,197394,181417,278037,150142,127895,151350,99645,51705,227461,97749,129712
266,163418,83743,79675,105893,57926,47967,80277,41556,38721,83141,42187,40954
267,196596,101933,94663,117511,63653,53858,98154,52931,45223,98442,49002,49440
268,50484,26502,23982,29859,16139,13720,30568,16273,14295,19916,10229,9687
269,74004,37830,36174,41232,22675,18557,31959,16780,15179,42045,21050,20995
270,267988,138966,129022,197489,107038,90451,114825,68140,46685,153163,70826,82337
271,95219,49714,45505,62204,34584,27620,61390,32249,29141,33829,17465,16364
272,479148,247323,231825,264477,148012,116465,233622,124143,109479,245526,123180,122346
273,140651,72371,68280,85006,47403,37603,70675,37237,33438,69976,35134,34842
274,274143,138820,135323,195935,104013,91922,122655,70594,52061,151488,68226,83262
275,237399,118782,118617,156333,87313,69020,109937,62807,47130,127462,55975,71487
276,422168,210845,211323,269304,152617,116687,195319,109377,85942,226849,101468,125381
277,517992,255054,262938,392626,205985,186641,213387,128540,84847,304605,126514,178091
278,456113,226094,230019,324664,173314,151350,194848,117562,77286,261265,108532,152733
279,183998,94718,89280,129829,70148,59681,87929,46533,41396,96069,48185,47884
280,144182,74579,69603,90302,51053,39249,76238,42615,33623,67944,31964,35980
281,86364,44828,41536,60191,32977,27214,39339,24016,15323,47025,20812,26213
282,83955,42918,41037,65895,34147,31748,36672,22733,13939,47283,20185,27098
283,400309,199270,201039,340595,169547,171048,174636,104643,69993,225673,94627,131046
284,125745,63388,62357,100802,51440,49362,60342,34129,26213,65403,29259,36144
285,64937,32851,32086,54476,27598,26878,32397,18261,14136,32540,14590,17950
286,161428,82891,78537,121122,64515,56607,78292,46230,32062,83136,36661,46475
287,117894,60599,57295,62861,36444,26417,45566,28517,17049,72328,32082,40246
288,56574,28594,27980,42233,21861,20372,19461,12211,7250,37113,16383,20730
